City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
193,Wajima,JP,37.4,136.9,77.11,81,99,6.02,overcast clouds
194,Tasiilaq,GL,65.6145,-37.6368,51.96,68,73,2.3,broken clouds
195,Flinders,AU,-34.5833,150.8552,54.18,54,0,15.01,clear sky
196,Vanimo,PG,-2.6741,141.3028,77.36,91,35,5.73,scattered clouds
197,Pisco,PE,-13.7,-76.2167,68.05,68,0,8.05,clear sky
198,Salinas,US,36.6777,-121.6555,89.2,56,1,5.75,clear sky
199,Sept-Iles,CA,50.2001,-66.3821,64.92,59,75,10.36,broken clouds
200,Zyryanka,RU,65.75,150.85,35.94,98,100,14.54,light rain
201,Barranca,PE,-10.75,-77.7667,68.18,71,35,13.13,scattered clouds
202,Caronport,CA,50.4501,-105.8179,82.69,16,100,8.5,overcast clouds
203,Charters Towers,AU,-20.1,146.2667,59.04,90,76,7.25,broken clouds
204,Clyde River,CA,70.4692,-68.5914,52.03,66,75,6.91,broken clouds
205,Katangli,RU,51.7102,143.2326,60.19,95,100,7.47,overcast clouds
206,Airai,TL,-8.9266,125.4092,56.23,68,10,3.2,clear sky
207,Penzance,GB,50.1186,-5.5371,64.76,74,28,23.2,scattered clouds
208,Nawabganj,BD,24.5911,88.271,80.74,86,72,10.58,broken clouds
209,Iquique,CL,-20.2208,-70.1431,60.84,64,4,10.98,clear sky
210,Noumea,NC,-22.2763,166.4572,66.99,99,35,6.69,scattered clouds
211,Tiszasuly,HU,47.3833,20.4,84.22,33,3,6.33,clear sky
212,Krasnoarmeysk,RU,51.0239,45.6969,74.16,48,85,4.38,overcast clouds
213,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,5,6.91,clear sky
214,Saint-Philippe,RE,-21.3585,55.7679,71.19,88,100,18.61,light rain
215,Medicine Hat,CA,50.0501,-110.6683,81.72,46,75,3.0,smoke
216,Muroto,JP,33.2833,134.15,79.95,79,2,10.42,clear sky
217,Vao,NC,-22.6667,167.4833,69.28,66,97,15.99,overcast clouds
218,Portobelo,PA,9.55,-79.65,88.21,80,100,4.7,overcast clouds
219,Itarema,BR,-2.9248,-39.9167,83.62,66,3,17.76,clear sky
220,Avera,US,33.194,-82.5271,92.71,50,100,4.07,overcast clouds
221,Paamiut,GL,61.994,-49.6678,44.28,87,15,7.94,few clouds
222,San Cristobal,VE,7.7669,-72.225,80.78,52,87,8.28,overcast clouds
223,Oussouye,SN,12.485,-16.5469,84.38,66,100,9.22,overcast clouds
224,Qaqortoq,GL,60.7167,-46.0333,54.1,78,73,6.17,broken clouds
225,Fortuna,US,40.5982,-124.1573,91.42,78,20,9.22,few clouds
226,Batagay-Alyta,RU,67.8006,130.4114,41.4,76,75,3.91,broken clouds
227,Bambanglipuro,ID,-7.95,110.2833,76.15,75,93,3.89,overcast clouds
228,Ponta Do Sol,PT,32.6667,-17.1,75.7,76,1,3.67,clear sky
229,Takaka,NZ,-40.85,172.8,46.56,79,54,3.24,broken clouds
230,Saint-Augustin,CA,51.226,-58.6502,67.5,67,28,14.76,scattered clouds
231,Mount Gambier,AU,-37.8333,140.7667,48.72,80,6,10.49,clear sky
232,Ola,RU,59.5833,151.2833,53.31,61,100,13.27,overcast clouds
233,Humboldt,US,40.6665,-123.9178,82.6,26,16,5.95,few clouds
234,Makakilo City,US,21.3469,-158.0858,80.92,69,75,8.05,broken clouds
235,Pevek,RU,69.7008,170.3133,32.77,99,100,24.4,snow
236,Fasa,IR,28.9383,53.6482,85.24,19,0,6.91,clear sky
237,Shenjiamen,CN,29.9576,122.298,79.16,92,83,16.64,broken clouds
238,Francheville,FR,45.7388,4.7722,76.91,66,0,6.91,clear sky
239,Getulio Vargas,UY,-32.6796,-53.5494,46.81,67,83,18.79,broken clouds
240,Kavieng,PG,-2.5744,150.7967,81.79,76,86,6.73,light rain
241,Lerwick,GB,60.1545,-1.1494,57.22,98,97,13.53,overcast clouds
242,Mende,FR,44.6667,3.5,55.27,84,0,3.2,clear sky
243,Narrabri,AU,-30.3167,149.7833,46.53,96,0,4.21,clear sky
244,Nacozari,MX,25.3366,-108.2574,99.1,52,0,9.17,clear sky
245,Kloulklubed,PW,7.0419,134.2556,77.5,75,96,4.5,overcast clouds
246,Fairbanks,US,64.8378,-147.7164,60.1,94,90,1.01,light rain
247,Salalah,OM,17.0151,54.0924,78.89,89,90,9.22,overcast clouds
248,Sakakah,SA,29.9697,40.2064,94.57,15,0,11.95,clear sky
249,Shubarshi,KZ,48.5872,57.1869,76.3,37,81,13.2,broken clouds
250,Tessalit,ML,20.1986,1.0114,98.06,22,14,4.9,few clouds
251,Tuatapere,NZ,-46.1333,167.6833,42.82,89,81,6.53,broken clouds
252,Burgeo,CA,47.6167,-57.6152,61.43,98,100,4.81,overcast clouds
253,Narsaq,GL,60.9167,-46.05,53.82,70,87,6.26,overcast clouds
254,Celestun,MX,20.8667,-90.4,87.33,62,21,9.66,few clouds
255,Sarangani,PH,5.4033,125.4636,83.64,74,100,5.68,overcast clouds
256,Bom Jesus Da Lapa,BR,-13.255,-43.4181,90.63,19,0,4.29,clear sky
257,Pedasi,PA,7.5333,-80.0333,82.26,73,29,2.44,scattered clouds
258,Porto Novo,BJ,6.4965,2.6036,78.62,78,13,8.37,few clouds
259,Sabha,LY,27.0377,14.4283,91.24,15,0,11.43,clear sky
260,Jackson,US,42.4165,-122.8345,90.16,45,1,5.75,clear sky
261,Coquimbo,CL,-29.9533,-71.3436,55.13,76,20,10.36,few clouds
262,Alma,CA,48.5501,-71.6491,70.41,38,44,4.21,scattered clouds
263,Tongliao,CN,43.6125,122.2653,73.65,79,100,5.57,overcast clouds
264,Krasnyy Oktyabr,RU,56.1167,38.8833,64.29,96,100,6.11,light rain
265,Dudinka,RU,69.4058,86.1778,53.89,80,100,5.39,overcast clouds
266,Hammerfest,NO,70.6634,23.6821,49.73,87,75,6.91,broken clouds
267,Iskateley,RU,67.6803,53.1512,44.42,85,100,5.61,overcast clouds
268,Soe,ID,-9.8607,124.284,61.36,93,32,4.41,scattered clouds
269,Collie,AU,-33.3667,116.15,56.98,92,50,14.27,scattered clouds
270,Muzhi,RU,65.3667,64.6667,43.74,84,62,0.94,broken clouds
271,Wuzhou,CN,23.4833,111.3167,79.75,87,66,3.13,broken clouds
272,Kaka,TM,37.3482,59.6143,85.8,18,0,2.13,clear sky
273,Jaciara,BR,-15.9653,-54.9683,78.12,33,11,10.96,few clouds
274,Waipawa,NZ,-41.4122,175.5153,46.92,88,3,4.09,clear sky
275,Bodden Town,KY,19.2833,-81.25,89.6,74,40,5.01,scattered clouds
276,Kavaratti,IN,10.5669,72.642,82.27,78,100,16.69,overcast clouds
277,Peleduy,RU,59.6289,112.7406,63.75,68,3,5.5,clear sky
278,Alexandria,EG,31.2156,29.9553,80.56,69,0,9.22,clear sky
279,Geraldton,AU,-28.7667,114.6,63.12,88,40,16.11,scattered clouds
280,Eureka,US,40.8021,-124.1637,67.24,75,29,4.0,scattered clouds
281,Santa Luzia,BR,-19.7697,-43.8514,84.34,26,0,10.36,clear sky
282,Lakhipur,IN,26.0299,90.3041,78.84,87,100,6.11,overcast clouds
283,Diffa,NE,13.3154,12.6113,77.49,76,99,3.15,overcast clouds
284,Port Macquarie,AU,-31.4333,152.9167,53.56,80,1,7.38,clear sky
285,Kamenka,RU,51.3223,42.7678,72.12,47,83,3.71,broken clouds
