City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
198,Salinas,US,89.2,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
202,Caronport,CA,82.69,overcast clouds,50.4501,-105.8179,Pilgrim Inn
208,Nawabganj,BD,80.74,broken clouds,24.5911,88.271,দা সফ্‌ট আইটি
211,Tiszasuly,HU,84.22,clear sky,47.3833,20.4,Tiszaroffi Apartman
213,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
215,Medicine Hat,CA,81.72,smoke,50.0501,-110.6683,Sun Dek Motel
216,Muroto,JP,79.95,clear sky,33.2833,134.15,Oota Ryokan
218,Portobelo,PA,88.21,overcast clouds,9.55,-79.65,Scuba Portobelo
219,Itarema,BR,83.62,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
222,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
223,Oussouye,SN,84.38,overcast clouds,12.485,-16.5469,Auberge du Routard
227,Bambanglipuro,ID,76.15,overcast clouds,-7.95,110.2833,Puri Brata
228,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
234,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
236,Fasa,IR,85.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
237,Shenjiamen,CN,79.16,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
238,Francheville,FR,76.91,clear sky,45.7388,4.7722,Quality Suites Lyon Confluence
240,Kavieng,PG,81.79,light rain,-2.5744,150.7967,Nusa Island Retreat
245,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
247,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
254,Celestun,MX,87.33,few clouds,20.8667,-90.4,Posada Lilia
255,Sarangani,PH,83.64,overcast clouds,5.4033,125.4636,Ballistic Islet
257,Pedasi,PA,82.26,scattered clouds,7.5333,-80.0333,Selina Pedasi
258,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
271,Wuzhou,CN,79.75,broken clouds,23.4833,111.3167,Wuzhou Hostel
273,Jaciara,BR,78.12,few clouds,-15.9653,-54.9683,Taba Hotel
275,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
276,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
278,Alexandria,EG,80.56,clear sky,31.2156,29.9553,Royal Crown Hotel
281,Santa Luzia,BR,84.34,clear sky,-19.7697,-43.8514,Pousada Chao Earth
282,Lakhipur,IN,78.84,overcast clouds,26.0299,90.3041,Rajdhani Hotel
283,Diffa,NE,77.49,overcast clouds,13.3154,12.6113,ProDAF/Diffa
289,Lompoc,US,88.12,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
290,Auki,SB,75.43,scattered clouds,-8.7676,160.7034,Auki Motel
296,Eyl,SO,80.67,overcast clouds,7.9803,49.8164,Amiin Hotel
297,Bengkulu,ID,75.09,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
303,Torbay,CA,75.97,broken clouds,47.6666,-52.7314,Gallows Cove
304,Termoli,IT,88.27,clear sky,41.9888,14.9895,Hotel Mistral
306,Surab,PK,83.62,overcast clouds,28.4914,66.2585,Bismillah Hotel
311,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
316,Leo,BF,75.81,broken clouds,11.1,-2.1,Hotel Sissilis
317,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
324,North Bend,US,87.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
327,Lethem,GY,86.68,scattered clouds,3.3803,-59.7968,Savannah Inn
328,Sioux Lookout,CA,82.78,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
329,Padang,ID,76.69,broken clouds,-0.9492,100.3543,Mercure Padang
337,Hillsboro,US,88.09,clear sky,45.5229,-122.9898,Budget Inn-Hillsboro
341,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
343,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
345,Buala,SB,78.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
346,Shankargarh,IN,79.72,overcast clouds,25.1833,81.6167,Akash. Tea. Stal
347,Korla,CN,89.19,scattered clouds,41.7597,86.1469,Gulisitan Hotel
350,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
352,Sabang,ID,83.21,scattered clouds,5.8933,95.3214,Hotel Citra
357,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
360,Pacific Grove,US,88.81,clear sky,36.6177,-121.9166,Lovers Point Inn
363,Lewisporte,CA,80.31,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
